x,y,z
106603,49240,17
106603,49241,17
106603,49242,17
106603,49243,17
106603,49244,17
106603,49245,17
106603,49246,17
106603,49247,17
106603,49248,17
106603,49249,17
106603,49250,17
106603,49251,17
106603,49252,17
106603,49253,17
106603,49254,17
106603,49255,17
106603,49256,17
106603,49257,17
106603,49258,17
106603,49259,17
106603,49260,17
106603,49261,17
106603,49262,17
106603,49263,17
106603,49264,17
106603,49265,17
106603,49266,17
106603,49267,17
106603,49268,17
106603,49269,17
106603,49270,17
106603,49271,17
106603,49272,17
106603,49273,17
106603,49274,17
106603,49275,17
106603,49276,17
106603,49277,17
106603,49278,17
106603,49279,17
106603,49280,17
106603,49281,17
106603,49282,17
106603,49283,17
106603,49284,17
106603,49285,17
106603,49286,17
106603,49287,17
106603,49288,17
106603,49289,17
106603,49290,17
106603,49291,17
106603,49292,17
106603,49293,17
106603,49294,17
106603,49295,17
106603,49296,17
106603,49297,17
106603,49298,17
106603,49299,17
106603,49300,17
106603,49301,17
106603,49302,17
106603,49303,17
106603,49304,17
106603,49305,17
106603,49306,17
106603,49307,17
106603,49308,17
106603,49309,17
106603,49310,17
106603,49311,17
106603,49312,17
106603,49313,17
106603,49314,17
106603,49315,17
106603,49316,17
106603,49317,17
106603,49318,17
106603,49319,17
106603,49320,17
106603,49321,17
106603,49322,17
106603,49323,17
106603,49324,17
106603,49325,17
106603,49326,17
106603,49327,17
106603,49328,17
106603,49329,17
106603,49330,17
106603,49331,17
106603,49332,17
106603,49333,17
106603,49334,17
106603,49335,17
106603,49336,17
106603,49337,17
106603,49338,17
106603,49339,17
106603,49340,17
106603,49341,17
106603,49342,17
106603,49343,17
106603,49344,17
106603,49345,17
106603,49346,17
106603,49347,17
106603,49348,17
106603,49349,17
106603,49350,17
106603,49351,17
106603,49352,17
106603,49353,17
106603,49354,17
106603,49355,17
106603,49356,17
106603,49357,17
106603,49358,17
106603,49359,17
106603,49360,17
106603,49361,17
106603,49362,17
106603,49363,17
106603,49364,17
106603,49365,17
106603,49366,17
106603,49367,17
106603,49368,17
106603,49369,17
106603,49370,17
106603,49371,17
106603,49372,17
106603,49373,17
106603,49374,17
106603,49375,17
106603,49376,17
106603,49377,17
106603,49378,17
106603,49379,17
106603,49380,17
106603,49381,17
106603,49382,17
106603,49383,17
106603,49384,17
106603,49385,17
106603,49386,17
106603,49387,17
106603,49388,17
106603,49389,17
106603,49390,17
106603,49391,17
106603,49392,17
106603,49393,17
106603,49394,17
106603,49395,17
106603,49396,17
106603,49397,17
106603,49398,17
106603,49399,17
106603,49400,17
106603,49401,17
106603,49402,17
106603,49403,17
106603,49404,17
106603,49405,17
106603,49406,17
106603,49407,17
106603,49408,17
106603,49409,17
106603,49410,17
106603,49411,17
106603,49412,17
106603,49413,17
106603,49414,17
106603,49415,17
106603,49416,17
106603,49417,17
106603,49418,17
106603,49419,17
106603,49420,17
106603,49421,17
106603,49422,17
106603,49423,17
106603,49424,17
106603,49425,17
106603,49426,17
106603,49427,17
106603,49428,17
106603,49429,17
106603,49430,17
106603,49431,17
106603,49432,17
106603,49433,17
106603,49434,17
106603,49435,17
106603,49436,17
106603,49437,17
106603,49438,17
106603,49439,17
106603,49440,17
106603,49441,17
106603,49442,17
106603,49443,17
106603,49444,17
106603,49445,17
106603,49446,17
106603,49447,17
106603,49448,17
106603,49449,17
106603,49450,17
106603,49451,17
106603,49452,17
106603,49453,17
106603,49454,17
106603,49455,17
106603,49456,17
106603,49457,17
106603,49458,17
106603,49459,17
106603,49460,17
106603,49461,17
106603,49462,17
106603,49463,17
106603,49464,17
106603,49465,17
106603,49466,17
106603,49467,17
106603,49468,17
106603,49469,17
106603,49470,17
106604,49240,17
106604,49241,17
106604,49242,17
106604,49243,17
106604,49244,17
106604,49245,17
106604,49246,17
106604,49247,17
106604,49248,17
106604,49249,17
106604,49250,17
106604,49251,17
106604,49252,17
106604,49253,17
106604,49254,17
106604,49255,17
106604,49256,17
106604,49257,17
106604,49258,17
106604,49259,17
106604,49260,17
106604,49261,17
106604,49262,17
106604,49263,17
106604,49264,17
106604,49265,17
106604,49266,17
106604,49267,17
106604,49268,17
106604,49269,17
106604,49270,17
106604,49271,17
106604,49272,17
106604,49273,17
106604,49274,17
106604,49275,17
106604,49276,17
106604,49277,17
106604,49278,17
106604,49279,17
106604,49280,17
106604,49281,17
106604,49282,17
106604,49283,17
106604,49284,17
106604,49285,17
106604,49286,17
106604,49287,17
106604,49288,17
106604,49289,17
106604,49290,17
106604,49291,17
106604,49292,17
106604,49293,17
106604,49294,17
106604,49295,17
106604,49296,17
106604,49297,17
106604,49298,17
106604,49299,17
106604,49300,17
106604,49301,17
106604,49302,17
106604,49303,17
106604,49304,17
106604,49305,17
106604,49306,17
106604,49307,17
106604,49308,17
106604,49309,17
106604,49310,17
106604,49311,17
106604,49312,17
106604,49313,17
106604,49314,17
106604,49315,17
106604,49316,17
106604,49317,17
106604,49318,17
106604,49319,17
106604,49320,17
106604,49321,17
106604,49322,17
106604,49323,17
106604,49324,17
106604,49325,17
106604,49326,17
106604,49327,17
106604,49328,17
106604,49329,17
106604,49330,17
106604,49331,17
106604,49332,17
106604,49333,17
106604,49334,17
106604,49335,17
106604,49336,17
106604,49337,17
106604,49338,17
106604,49339,17
106604,49340,17
106604,49341,17
106604,49342,17
106604,49343,17
106604,49344,17
106604,49345,17
106604,49346,17
106604,49347,17
106604,49348,17
106604,49349,17
106604,49350,17
106604,49351,17
106604,49352,17
106604,49353,17
106604,49354,17
106604,49355,17
106604,49356,17
106604,49357,17
106604,49358,17
106604,49359,17
106604,49360,17
106604,49361,17
106604,49362,17
106604,49363,17
106604,49364,17
106604,49365,17
106604,49366,17
106604,49367,17
106604,49368,17
106604,49369,17
106604,49370,17
106604,49371,17
106604,49372,17
106604,49373,17
106604,49374,17
106604,49375,17
106604,49376,17
106604,49377,17
106604,49378,17
106604,49379,17
106604,49380,17
106604,49381,17
106604,49382,17
106604,49383,17
106604,49384,17
106604,49385,17
106604,49386,17
106604,49387,17
106604,49388,17
106604,49389,17
106604,49390,17
106604,49391,17
106604,49392,17
106604,49393,17
106604,49394,17
106604,49395,17
106604,49396,17
106604,49397,17
106604,49398,17
106604,49399,17
106604,49400,17
106604,49401,17
106604,49402,17
106604,49403,17
106604,49404,17
106604,49405,17
106604,49406,17
106604,49407,17
106604,49408,17
106604,49409,17
106604,49410,17
106604,49411,17
106604,49412,17
106604,49413,17
106604,49414,17
106604,49415,17
106604,49416,17
106604,49417,17
106604,49418,17
106604,49419,17
106604,49420,17
106604,49421,17
106604,49422,17
106604,49423,17
106604,49424,17
106604,49425,17
106604,49426,17
106604,49427,17
106604,49428,17
106604,49429,17
106604,49430,17
106604,49431,17
106604,49432,17
106604,49433,17
106604,49434,17
106604,49435,17
106604,49436,17
106604,49437,17
106604,49438,17
106604,49439,17
106604,49440,17
106604,49441,17
106604,49442,17
106604,49443,17
106604,49444,17
106604,49445,17
106604,49446,17
106604,49447,17
106604,49448,17
106604,49449,17
106604,49450,17
106604,49451,17
106604,49452,17
106604,49453,17
106604,49454,17
106604,49455,17
106604,49456,17
106604,49457,17
106604,49458,17
106604,49459,17
106604,49460,17
106604,49461,17
106604,49462,17
106604,49463,17
106604,49464,17
106604,49465,17
106604,49466,17
106604,49467,17
106604,49468,17
106604,49469,17
106604,49470,17
106605,49240,17
106605,49241,17
106605,49242,17
106605,49243,17
106605,49244,17
106605,49245,17
106605,49246,17
106605,49247,17
106605,49248,17
106605,49249,17
106605,49250,17
106605,49251,17
106605,49252,17
106605,49253,17
106605,49254,17
106605,49255,17
106605,49256,17
106605,49257,17
106605,49258,17
106605,49259,17
106605,49260,17
106605,49261,17
106605,49262,17
106605,49263,17
106605,49264,17
106605,49265,17
106605,49266,17
106605,49267,17
106605,49268,17
106605,49269,17
106605,49270,17
106605,49271,17
106605,49272,17
106605,49273,17
106605,49274,17
106605,49275,17
106605,49276,17
106605,49277,17
106605,49278,17
106605,49279,17
106605,49280,17
106605,49281,17
106605,49282,17
106605,49283,17
106605,49284,17
106605,49285,17
106605,49286,17
106605,49287,17
106605,49288,17
106605,49289,17
106605,49290,17
106605,49291,17
106605,49292,17
106605,49293,17
106605,49294,17
106605,49295,17
106605,49296,17
106605,49297,17
106605,49298,17
106605,49299,17
106605,49300,17
106605,49301,17
106605,49302,17
106605,49303,17
106605,49304,17
106605,49305,17
106605,49306,17
106605,49307,17
106605,49308,17
106605,49309,17
106605,49310,17
106605,49311,17
106605,49312,17
106605,49313,17
106605,49314,17
106605,49315,17
106605,49316,17
106605,49317,17
106605,49318,17
106605,49319,17
106605,49320,17
106605,49321,17
106605,49322,17
106605,49323,17
106605,49324,17
106605,49325,17
106605,49326,17
106605,49327,17
106605,49328,17
106605,49329,17
106605,49330,17
106605,49331,17
106605,49332,17
106605,49333,17
106605,49334,17
106605,49335,17
106605,49336,17
106605,49337,17
106605,49338,17
106605,49339,17
106605,49340,17
106605,49341,17
106605,49342,17
106605,49343,17
106605,49344,17
106605,49345,17
106605,49346,17
106605,49347,17
106605,49348,17
106605,49349,17
106605,49350,17
106605,49351,17
106605,49352,17
106605,49353,17
106605,49354,17
106605,49355,17
106605,49356,17
106605,49357,17
106605,49358,17
106605,49359,17
106605,49360,17
106605,49361,17
106605,49362,17
106605,49363,17
106605,49364,17
106605,49365,17
106605,49366,17
106605,49367,17
106605,49368,17
106605,49369,17
106605,49370,17
106605,49371,17
106605,49372,17
106605,49373,17
106605,49374,17
106605,49375,17
106605,49376,17
106605,49377,17
106605,49378,17
106605,49379,17
106605,49380,17
106605,49381,17
106605,49382,17
106605,49383,17
106605,49384,17
106605,49385,17
106605,49386,17
106605,49387,17
106605,49388,17
106605,49389,17
106605,49390,17
106605,49391,17
106605,49392,17
106605,49393,17
106605,49394,17
106605,49395,17
106605,49396,17
106605,49397,17
106605,49398,17
106605,49399,17
106605,49400,17
106605,49401,17
106605,49402,17
106605,49403,17
106605,49404,17
106605,49405,17
106605,49406,17
106605,49407,17
106605,49408,17
106605,49409,17
106605,49410,17
106605,49411,17
106605,49412,17
106605,49413,17
106605,49414,17
106605,49415,17
106605,49416,17
106605,49417,17
106605,49418,17
106605,49419,17
106605,49420,17
106605,49421,17
106605,49422,17
106605,49423,17
106605,49424,17
106605,49425,17
106605,49426,17
106605,49427,17
106605,49428,17
106605,49429,17
106605,49430,17
106605,49431,17
106605,49432,17
106605,49433,17
106605,49434,17
106605,49435,17
106605,49436,17
106605,49437,17
106605,49438,17
106605,49439,17
106605,49440,17
106605,49441,17
106605,49442,17
106605,49443,17
106605,49444,17
106605,49445,17
106605,49446,17
106605,49447,17
106605,49448,17
106605,49449,17
106605,49450,17
106605,49451,17
106605,49452,17
106605,49453,17
106605,49454,17
106605,49455,17
106605,49456,17
106605,49457,17
106605,49458,17
106605,49459,17
106605,49460,17
106605,49461,17
106605,49462,17
106605,49463,17
106605,49464,17
106605,49465,17
106605,49466,17
106605,49467,17
106605,49468,17
106605,49469,17
106605,49470,17
106606,49240,17
106606,49241,17
106606,49242,17
106606,49243,17
106606,49244,17
106606,49245,17
106606,49246,17
106606,49247,17
106606,49248,17
106606,49249,17
106606,49250,17
106606,49251,17
106606,49252,17
106606,49253,17
106606,49254,17
106606,49255,17
106606,49256,17
106606,49257,17
106606,49258,17
106606,49259,17
106606,49260,17
106606,49261,17
106606,49262,17
106606,49263,17
106606,49264,17
106606,49265,17
106606,49266,17
106606,49267,17
106606,49268,17
106606,49269,17
106606,49270,17
106606,49271,17
106606,49272,17
106606,49273,17
106606,49274,17
106606,49275,17
106606,49276,17
106606,49277,17
106606,49278,17
106606,49279,17
106606,49280,17
106606,49281,17
106606,49282,17
106606,49283,17
106606,49284,17
106606,49285,17
106606,49286,17
106606,49287,17
106606,49288,17
106606,49289,17
106606,49290,17
106606,49291,17
106606,49292,17
106606,49293,17
106606,49294,17
106606,49295,17
106606,49296,17
106606,49297,17
106606,49298,17
106606,49299,17
106606,49300,17
106606,49301,17
106606,49302,17
106606,49303,17
106606,49304,17
106606,49305,17
106606,49306,17
106606,49307,17
106606,49308,17
106606,49309,17
106606,49310,17
106606,49311,17
106606,49312,17
106606,49313,17
106606,49314,17
106606,49315,17
106606,49316,17
106606,49317,17
106606,49318,17
106606,49319,17
106606,49320,17
106606,49321,17
106606,49322,17
106606,49323,17
106606,49324,17
106606,49325,17
106606,49326,17
106606,49327,17
106606,49328,17
106606,49329,17
106606,49330,17
106606,49331,17
106606,49332,17
106606,49333,17
106606,49334,17
106606,49335,17
106606,49336,17
106606,49337,17
106606,49338,17
106606,49339,17
106606,49340,17
106606,49341,17
106606,49342,17
106606,49343,17
106606,49344,17
106606,49345,17
106606,49346,17
106606,49347,17
106606,49348,17
106606,49349,17
106606,49350,17
106606,49351,17
106606,49352,17
106606,49353,17
106606,49354,17
106606,49355,17
106606,49356,17
106606,49357,17
106606,49358,17
106606,49359,17
106606,49360,17
106606,49361,17
106606,49362,17
106606,49363,17
106606,49364,17
106606,49365,17
106606,49366,17
106606,49367,17
106606,49368,17
106606,49369,17
106606,49370,17
106606,49371,17
106606,49372,17
106606,49373,17
106606,49374,17
106606,49375,17
106606,49376,17
106606,49377,17
106606,49378,17
106606,49379,17
106606,49380,17
106606,49381,17
106606,49382,17
106606,49383,17
106606,49384,17
106606,49385,17
106606,49386,17
106606,49387,17
106606,49388,17
106606,49389,17
106606,49390,17
106606,49391,17
106606,49392,17
106606,49393,17
106606,49394,17
106606,49395,17
106606,49396,17
106606,49397,17
106606,49398,17
106606,49399,17
106606,49400,17
106606,49401,17
106606,49402,17
106606,49403,17
106606,49404,17
106606,49405,17
106606,49406,17
106606,49407,17
106606,49408,17
106606,49409,17
106606,49410,17
106606,49411,17
106606,49412,17
106606,49413,17
106606,49414,17
106606,49415,17
106606,49416,17
106606,49417,17
106606,49418,17
106606,49419,17
106606,49420,17
106606,49421,17
106606,49422,17
106606,49423,17
106606,49424,17
106606,49425,17
106606,49426,17
106606,49427,17
106606,49428,17
106606,49429,17
106606,49430,17
106606,49431,17
106606,49432,17
106606,49433,17
106606,49434,17
106606,49435,17
106606,49436,17
106606,49437,17
106606,49438,17
106606,49439,17
106606,49440,17
106606,49441,17
106606,49442,17
106606,49443,17
106606,49444,17
106606,49445,17
106606,49446,17
106606,49447,17
106606,49448,17
106606,49449,17
106606,49450,17
106606,49451,17
106606,49452,17
106606,49453,17
106606,49454,17
106606,49455,17
106606,49456,17
106606,49457,17
106606,49458,17
106606,49459,17
106606,49460,17
106606,49461,17
106606,49462,17
106606,49463,17
106606,49464,17
106606,49465,17
106606,49466,17
106606,49467,17
106606,49468,17
106606,49469,17
106606,49470,17
106607,49240,17
106607,49241,17
106607,49242,17
106607,49243,17
106607,49244,17
106607,49245,17
106607,49246,17
106607,49247,17
106607,49248,17
106607,49249,17
106607,49250,17
106607,49251,17
106607,49252,17
106607,49253,17
106607,49254,17
106607,49255,17
106607,49256,17
106607,49257,17
106607,49258,17
106607,49259,17
106607,49260,17
106607,49261,17
106607,49262,17
106607,49263,17
106607,49264,17
106607,49265,17
106607,49266,17
106607,49267,17
106607,49268,17
106607,49269,17
106607,49270,17
106607,49271,17
106607,49272,17
106607,49273,17
106607,49274,17
106607,49275,17
106607,49276,17
106607,49277,17
106607,49278,17
106607,49279,17
106607,49280,17
106607,49281,17
106607,49282,17
106607,49283,17
106607,49284,17
106607,49285,17
106607,49286,17
106607,49287,17
106607,49288,17
106607,49289,17
106607,49290,17
106607,49291,17
106607,49292,17
106607,49293,17
106607,49294,17
106607,49295,17
106607,49296,17
106607,49297,17
106607,49298,17
106607,49299,17
106607,49300,17
106607,49301,17
106607,49302,17
106607,49303,17
106607,49304,17
106607,49305,17
106607,49306,17
106607,49307,17
106607,49308,17
106607,49309,17
106607,49310,17
106607,49311,17
106607,49312,17
106607,49313,17
106607,49314,17
106607,49315,17
106607,49316,17
106607,49317,17
106607,49318,17
106607,49319,17
106607,49320,17
106607,49321,17
106607,49322,17
106607,49323,17
106607,49324,17
106607,49325,17
106607,49326,17
106607,49327,17
106607,49328,17
106607,49329,17
106607,49330,17
106607,49331,17
106607,49332,17
106607,49333,17
106607,49334,17
106607,49335,17
106607,49336,17
106607,49337,17
106607,49338,17
106607,49339,17
106607,49340,17
106607,49341,17
106607,49342,17
106607,49343,17
106607,49344,17
106607,49345,17
106607,49346,17
106607,49347,17
106607,49348,17
106607,49349,17
106607,49350,17
106607,49351,17
106607,49352,17
106607,49353,17
106607,49354,17
106607,49355,17
106607,49356,17
106607,49357,17
106607,49358,17
106607,49359,17
106607,49360,17
106607,49361,17
106607,49362,17
106607,49363,17
106607,49364,17
106607,49365,17
106607,49366,17
106607,49367,17
106607,49368,17
106607,49369,17
106607,49370,17
106607,49371,17
106607,49372,17
106607,49373,17
106607,49374,17
